,Block Group,Cencus Tract,Weighted HH Inc Int,Median HH Inc Int,Geoid1,Total (Household Count Census 2020.csv),Total: (Population Race P3 Census 2020.csv),% White,% Asian,% Two or More,% Black,% Other,% American Indian,% Pacific Islander,intptlat,intptlon,Shape__Area,Shape__Length
0,1,124.05,836,42383,6075012405,703,"1,332",38.4,15.3,10.1,17.0,17.6,1.4,0.2,37.7795195,-122.417462,3.01904674415709e-05,0.0241952179896579
1,1,176.02,2697,149483,6075017602,953,"1,898",28.7,37.8,7.0,14.0,11.0,1.4,0.2,37.7821241,-122.4070181,2.79441724160279e-05,0.0251623780602959
2,1,176.03,1527,73403,6075017603,741,"1,151",37.4,37.5,9.2,9.2,5.3,1.2,0.2,37.7763092,-122.4143407,2.54290212069463e-05,0.0238204898388352
3,1,176.04,2436,123944,6075017604,700,921,38.0,44.0,8.1,3.8,5.4,0.4,0.2,37.7798582,-122.4117434,1.14257600216661e-05,0.0154683166241112
4,1,177.0,1056,165789,6075017700,227,"1,041",44.9,22.4,8.5,14.2,8.5,0.8,0.7,37.768044,-122.4124918,9.24471964935947e-05,0.0479024189954166
5,1,178.01,349,13689,6075017801,909,"1,189",13.7,71.4,3.9,7.8,2.6,0.3,0.3,37.7820284,-122.4011589,2.18923933061888e-05,0.0192805695312699
6,1,178.03,2697,149483,6075017803,621,"1,070",38.9,23.5,12.1,13.8,8.8,2.1,0.9,37.773426,-122.4120419,1.94144931811024e-05,0.0179880999942075
7,1,178.04,3298,135026,6075017804,870,"1,866",38.2,33.2,9.4,8.6,10.0,0.6,0.1,37.7776291,-122.4067243,3.27558259414218e-05,0.0249179424841877
8,1,180.0,2345,136719,6075018000,611,880,39.8,43.0,8.3,1.4,7.3,0.3,0.0,37.7753353,-122.4022844,9.54664556047646e-05,0.0534065049868825
9,1,201.01,2690,94209,6075020101,"1,017","1,541",44.2,27.6,10.2,9.7,5.3,2.4,0.6,37.7702373,-122.4201473,3.12118090732838e-05,0.0234216615078436
10,1,226.0,8544,229713,6075022600,"1,325","2,390",50.0,34.3,9.2,2.8,3.1,0.5,0.1,37.7612744,-122.3841166,0.0001879535548141,0.0610670777632042
11,1,227.02,3622,216875,6075022702,595,"1,128",63.5,20.3,10.5,1.7,3.4,0.7,0.0,37.7626143,-122.3955143,3.0217533094401e-05,0.0219643205152717
12,1,227.04,6357,206042,6075022704,"1,099","1,601",57.3,21.3,14.2,3.2,3.2,0.5,0.2,37.7609519,-122.4019893,5.5684558901703e-05,0.0289232661228601
13,1,228.02,1305,134000,6075022802,347,824,41.3,23.4,15.3,3.4,14.8,1.1,0.7,37.7589131,-122.4062337,2.97791466437047e-05,0.0296418563678243
14,1,607.01,1715,99030,6075060701,617,"1,043",49.1,36.8,9.3,2.2,2.0,0.3,0.3,37.7743713,-122.3835948,0.0002080902750094,0.0673846737012472
15,1,607.02,2697,149483,6075060702,"1,488","3,142",31.6,48.9,9.6,5.1,4.1,0.5,0.2,37.768089,-122.4003072,5.60879943805048e-05,0.0336526153931054
16,1,607.03,4654,169000,6075060703,981,"1,804",33.4,45.8,8.8,4.3,7.3,0.2,0.1,37.7749279,-122.3957079,3.54549338226207e-05,0.0307532764714659
17,1,614.02,2840,160335,6075061402,631,"1,349",56.3,23.3,13.7,3.0,2.7,0.4,0.7,37.7565832,-122.3947008,4.02575556108786e-05,0.026377667736503
18,1,615.01,2697,149483,6075061501,544,809,61.7,25.1,6.9,4.7,1.4,0.0,0.2,37.7878384,-122.4001079,4.25860380346421e-05,0.0299364059570182
19,1,615.02,2697,149483,6075061502,933,"1,452",54.5,35.5,5.9,0.9,3.1,0.2,0.0,37.7817147,-122.3929796,2.20211950363591e-05,0.0233497021386343
20,1,615.03,2697,149483,6075061503,"1,806","2,010",35.2,46.5,7.2,3.9,6.4,0.8,0.0,37.7857922,-122.3965353,2.40221093008586e-05,0.0214894887020771
21,1,615.04,2697,149483,6075061504,771,"1,294",37.9,46.5,7.3,5.1,2.7,0.4,0.1,37.7852562,-122.3924125,9.75167813521693e-06,0.0141154554413989
22,1,615.05,4588,249901,6075061505,654,"1,051",37.7,52.1,6.8,1.9,1.4,0.1,0.0,37.7891027,-122.3906438,2.17694514503819e-06,0.0062110738366715
23,1,615.06,2697,149483,6075061506,"1,316","1,983",39.0,48.3,8.1,1.6,2.7,0.3,0.0,37.7876594,-122.3910165,1.15471630124375e-05,0.018634113490298
24,1,615.07,2697,93466,6075061507,"1,028","1,738",36.2,36.8,6.4,9.4,9.7,1.3,0.1,37.7907573,-122.3891845,6.50307688374596e-05,0.0421598914067809
25,1,615.08,2697,149483,6075061508,216,521,59.1,25.0,7.1,6.5,1.2,0.6,0.6,37.785752,-122.3863814,3.88904404644563e-05,0.0310405472462526
26,1,9809.0,1156,137750,6075980900,299,"1,248",36.4,13.5,10.1,18.8,17.4,2.6,1.2,37.746286,-122.3894769,0.0003946382930735,0.09758319424482
27,2,105.0,3600,209871,6075010500,611,865,53.8,30.2,7.6,5.1,2.3,0.7,0.3,37.8026835,-122.39905,0.0001205000844493,0.0500392462422885
28,2,176.02,808,44000,6075017602,654,951,24.4,47.0,8.3,13.1,6.4,0.5,0.2,37.7821241,-122.4070181,2.79441724160279e-05,0.0251623780602959
29,2,176.03,949,70000,6075017603,483,"1,131",25.1,35.8,9.6,10.7,14.5,2.4,1.9,37.7763092,-122.4143407,2.54290212069463e-05,0.0238204898388352
30,2,176.04,2555,94219,6075017604,966,"1,496",32.6,43.9,8.8,8.0,5.6,0.6,0.4,37.7798582,-122.4117434,1.14257600216661e-05,0.0154683166241112
31,2,177.0,2726,129844,6075017700,748,"1,800",38.8,19.6,12.7,6.6,18.0,4.1,0.3,37.768044,-122.4124918,9.24471964935947e-05,0.0479024189954166
32,2,178.01,2884,133780,6075017801,768,"1,161",31.3,59.4,6.8,1.1,1.3,0.1,0.0,37.7820284,-122.4011589,2.18923933061888e-05,0.0192805695312699
33,2,178.03,2895,154632,6075017803,667,"1,184",38.7,37.4,9.2,5.4,9.0,0.3,0.0,37.773426,-122.4120419,1.94144931811024e-05,0.0179880999942075
34,2,178.04,1748,74205,6075017804,839,"1,519",33.1,44.6,6.8,9.6,5.1,0.3,0.5,37.7776291,-122.4067243,3.27558259414218e-05,0.0249179424841877
35,2,180.0,2403,162708,6075018000,526,"1,063",42.7,29.0,10.2,10.3,6.4,0.5,1.0,37.7753353,-122.4022844,9.54664556047646e-05,0.0534065049868825
36,2,226.0,6545,194444,6075022600,"1,199","2,611",51.8,24.9,11.2,4.8,6.7,0.5,0.2,37.7612744,-122.3841166,0.0001879535548141,0.0610670777632042
37,2,227.02,3247,221136,6075022702,523,"1,066",64.8,13.5,14.9,2.9,3.0,0.5,0.4,37.7626143,-122.3955143,3.0217533094401e-05,0.0219643205152717
38,2,227.04,2697,149483,6075022704,505,"1,040",65.3,18.4,13.4,0.7,2.0,0.2,0.1,37.7609519,-122.4019893,5.5684558901703e-05,0.0289232661228601
39,2,228.02,2697,149483,6075022802,378,"1,151",41.2,21.9,12.2,5.9,17.5,0.8,0.5,37.7589131,-122.4062337,2.97791466437047e-05,0.0296418563678243
40,2,607.01,10172,149483,6075060701,"2,424","6,050",35.6,36.3,8.4,7.0,11.0,0.9,0.8,37.7743713,-122.3835948,0.0002080902750094,0.0673846737012472
41,2,607.03,5445,213146,6075060703,910,"1,788",32.6,49.6,7.0,6.3,4.4,0.1,0.2,37.7749279,-122.3957079,3.54549338226207e-05,0.0307532764714659
42,2,614.02,3661,187926,6075061402,694,"1,196",37.2,18.2,10.3,18.0,11.4,0.5,4.4,37.7565832,-122.3947008,4.02575556108786e-05,0.026377667736503
43,2,615.01,2657,243345,6075061501,389,518,53.9,31.9,8.7,1.4,3.5,0.6,0.2,37.7878384,-122.4001079,4.25860380346421e-05,0.0299364059570182
44,2,615.02,683,35512,6075061502,685,"1,002",44.2,25.2,12.9,9.0,6.6,2.0,0.1,37.7817147,-122.3929796,2.20211950363591e-05,0.0233497021386343
45,2,615.03,3405,203492,6075061503,596,974,41.8,34.3,8.7,9.4,4.8,0.6,0.3,37.7857922,-122.3965353,2.40221093008586e-05,0.0214894887020771
46,2,615.04,4674,241992,6075061504,688,952,44.9,44.5,7.5,1.5,1.6,0.0,0.1,37.7852562,-122.3924125,9.75167813521693e-06,0.0141154554413989
47,2,615.06,4870,213137,6075061506,814,"1,172",44.5,40.6,8.4,4.4,1.7,0.4,0.0,37.7876594,-122.3910165,1.15471630124375e-05,0.018634113490298
48,2,615.08,2489,102485,6075061508,865,"1,396",39.3,48.5,6.8,1.6,3.5,0.2,0.1,37.785752,-122.3863814,3.88904404644563e-05,0.0310405472462526
49,3,124.05,1380,98892,6075012405,497,744,45.6,25.9,13.6,6.0,6.2,1.9,0.8,37.7795195,-122.417462,3.01904674415709e-05,0.0241952179896579
50,3,176.02,2697,149483,6075017602,502,800,33.5,28.4,10.4,18.4,6.3,2.9,0.3,37.7821241,-122.4070181,2.79441724160279e-05,0.0251623780602959
51,3,176.03,247,11657,6075017603,756,"1,801",35.6,32.3,10.5,8.1,12.0,0.9,0.6,37.7763092,-122.4143407,2.54290212069463e-05,0.0238204898388352
52,3,176.04,1048,46907,6075017604,796,"1,591",36.6,17.9,8.5,21.8,12.1,2.1,0.9,37.7798582,-122.4117434,1.14257600216661e-05,0.0154683166241112
53,3,178.01,2697,149483,6075017801,904,"1,217",31.2,59.1,5.5,2.7,1.2,0.2,0.0,37.7820284,-122.4011589,2.18923933061888e-05,0.0192805695312699
54,3,178.04,1281,163000,6075017804,280,687,37.0,31.7,12.1,9.2,8.6,0.9,0.6,37.7776291,-122.4067243,3.27558259414218e-05,0.0249179424841877
55,3,180.0,2542,158558,6075018000,571,"1,088",39.1,42.7,8.5,7.0,1.5,0.2,1.1,37.7753353,-122.4022844,9.54664556047646e-05,0.0534065049868825
56,3,227.04,3439,214167,6075022704,572,"1,093",66.1,17.5,12.7,1.2,2.0,0.3,0.2,37.7609519,-122.4019893,5.5684558901703e-05,0.0289232661228601
57,3,607.01,2697,149483,6075060701,802,"1,517",39.2,46.3,10.9,1.3,1.7,0.5,0.1,37.7743713,-122.3835948,0.0002080902750094,0.0673846737012472
58,3,607.03,7071,211307,6075060703,"1,192","2,088",32.3,51.0,9.3,3.4,3.4,0.4,0.2,37.7749279,-122.3957079,3.54549338226207e-05,0.0307532764714659
59,3,615.01,2697,149483,6075061501,567,779,49.7,30.2,11.2,3.5,5.3,0.1,0.1,37.7878384,-122.4001079,4.25860380346421e-05,0.0299364059570182
60,3,615.03,3012,175911,6075061503,610,"1,055",37.5,49.2,8.4,1.3,2.8,0.7,0.0,37.7857922,-122.3965353,2.40221093008586e-05,0.0214894887020771
61,3,615.06,2697,149483,6075061506,830,"1,297",36.5,50.1,7.0,2.8,3.4,0.2,0.0,37.7876594,-122.3910165,1.15471630124375e-05,0.018634113490298
62,3,615.08,2697,149483,6075061508,346,590,46.9,35.4,12.5,2.0,3.1,0.0,0.0,37.785752,-122.3863814,3.88904404644563e-05,0.0310405472462526
63,4,176.03,3125,117685,6075017603,946,"1,435",37.8,45.5,8.5,4.0,3.8,0.1,0.1,37.7763092,-122.4143407,2.54290212069463e-05,0.0238204898388352
64,4,178.04,2697,149483,6075017804,474,680,42.5,34.4,9.9,5.1,6.0,1.6,0.4,37.7776291,-122.4067243,3.27558259414218e-05,0.0249179424841877
65,4,180.0,2697,149483,6075018000,376,"1,727",30.0,14.5,18.6,27.4,6.8,1.7,1.0,37.7753353,-122.4022844,9.54664556047646e-05,0.0534065049868825
