,Block Group,Cencus Tract,Weighted HH Inc Int,Median HH Inc Int,Geoid1,Weighted HH Inc,Median HH Income_x,Total (Household Count Census 2020.csv),Total: (Population Race P3 Census 2020.csv),Total: (Population Race P8 Census 2020.csv),Total:!!White alone,Total:!!Asian alone,Total:!!Two or More Races,Total:!!Black or African American alone,Total:!!Some Other Race alone,Total:!!American Indian and Alaska Native alone,Total:!!Native Hawaiian and Other Pacific Islander alone,% White,% Asian,% Two or More,% Black,% Other,% American Indian,% Pacific Islander,Median HH Income_y,23-24 K count,24-25 K count,Avg K Count,23-24 FRL K count,24-25 FRL K count,Avg FRL K Count,23-24 Asian,23-24 Hispanic,23-24 White,23-24 Black,23-24 Other,24-25 Asian,24-25 Hispanic,24-25 White,24-25 Black,24-25 Other,Avg K Asian,Avg K Hispanic,Avg K White,Avg K Black,Avg K Other,objectid,statefp,countyfp,trctce,geoid,name_,namelsad,mtfcc,funcstat,aland,awater,intptlat,intptlon,Shape__Area,Shape__Length
31,2,177.0,2726,129844,6075017700,"$2,726","$129,844",748,"1,800","1,800",699,352,228,118,324,73,6,38.8%,19.6%,12.7%,6.6%,18.0%,4.1%,0.3%,"$129,844",25.0,25.0,25.0,17.0,,,4.0,19.0,0.0,0.0,2.0,2.0,13.0,0.0,5.0,5.0,3.0,16.0,0.0,3.0,4.0,1043,6,75,,6075017700,177.0,Census Tract 177,G5020,S,904078,0,37.768044,-122.4124918,9.24471964935947e-05,0.0479024189954166
32,2,178.01,2884,133780,6075017801,"$2,884","$133,780",768,"1,161","1,161",363,690,79,13,15,1,0,31.3%,59.4%,6.8%,1.1%,1.3%,0.1%,0.0%,"$133,780",0.0,2.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1718,6,75,,6075017801,178.01,Census Tract 178.01,G5020,S,214051,0,37.7820284,-122.4011589,2.18923933061888e-05,0.0192805695312699
33,2,178.03,2895,154632,6075017803,"$2,895","$154,632",667,"1,184","1,184",458,443,109,64,106,4,0,38.7%,37.4%,9.2%,5.4%,9.0%,0.3%,0.0%,"$154,632",8.0,6.0,7.0,5.0,,,0.0,6.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,701,6,75,,6075017803,178.03,Census Tract 178.03,G5020,S,189846,0,37.773426,-122.4120419,1.94144931811024e-05,0.0179880999942075
34,2,178.04,1748,74205,6075017804,"$1,748","$74,205",839,"1,519","1,519",503,677,103,146,77,5,8,33.1%,44.6%,6.8%,9.6%,5.1%,0.3%,0.5%,"$74,205",6.0,12.0,9.0,3.0,,,0.0,2.0,0.0,2.0,2.0,1.0,7.0,0.0,0.0,4.0,1.0,5.0,0.0,1.0,3.0,703,6,75,,6075017804,178.04,Census Tract 178.04,G5020,S,320289,0,37.7776291,-122.4067243,3.27558259414218e-05,0.0249179424841877
35,2,180.0,2403,162708,6075018000,"$2,403","$162,708",526,"1,063","1,063",454,308,108,109,68,5,11,42.7%,29.0%,10.2%,10.3%,6.4%,0.5%,1.0%,"$162,708",1.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,121,6,75,,6075018000,180.0,Census Tract 180,G5020,S,933506,0,37.7753353,-122.4022844,9.54664556047646e-05,0.0534065049868825
36,2,226.0,6545,194444,6075022600,"$6,545","$194,444","1,199","2,611","2,611","1,353",651,292,125,174,12,4,51.8%,24.9%,11.2%,4.8%,6.7%,0.5%,0.2%,"$194,444",4.0,5.0,5.0,0.0,,,0.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,475,6,75,,6075022600,226.0,Census Tract 226,G5020,S,1334366,503898,37.7612744,-122.3841166,0.0001879535548141,0.0610670777632042
37,2,227.02,3247,221136,6075022702,"$3,247","$221,136",523,"1,066","1,066",691,144,159,31,32,5,4,64.8%,13.5%,14.9%,2.9%,3.0%,0.5%,0.4%,"$221,136",0.0,3.0,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,66,6,75,,6075022702,227.02,Census Tract 227.02,G5020,S,295531,0,37.7626143,-122.3955143,3.0217533094401e-05,0.0219643205152717
38,2,227.04,2697,149483,6075022704,$0,$0,505,"1,040","1,040",679,191,139,7,21,2,1,65.3%,18.4%,13.4%,0.7%,2.0%,0.2%,0.1%,,8.0,3.0,6.0,1.0,,,0.0,1.0,2.0,0.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1719,6,75,,6075022704,227.04,Census Tract 227.04,G5020,S,544609,0,37.7609519,-122.4019893,5.5684558901703e-05,0.0289232661228601
39,2,228.02,2697,149483,6075022802,$0,$0,378,"1,151","1,151",474,252,140,68,202,9,6,41.2%,21.9%,12.2%,5.9%,17.5%,0.8%,0.5%,,4.0,7.0,6.0,3.0,,,0.0,4.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,476,6,75,,6075022802,228.02,Census Tract 228.02,G5020,S,291253,0,37.7589131,-122.4062337,2.97791466437047e-05,0.0296418563678243
40,2,607.01,10172,149483,6075060701,"$10,172","$149,483","2,424","6,050","6,050","2,154","2,195",506,422,666,57,50,35.6%,36.3%,8.4%,7.0%,11.0%,0.9%,0.8%,"$149,483",41.0,34.0,38.0,27.0,,,17.0,10.0,2.0,4.0,8.0,14.0,8.0,1.0,4.0,7.0,16.0,9.0,2.0,4.0,8.0,770,6,75,,6075060701,607.01,Census Tract 607.01,G5020,S,1292507,742331,37.7743713,-122.3835948,0.0002080902750094,0.0673846737012472
41,2,607.03,5445,213146,6075060703,"$5,445","$213,146",910,"1,788","1,788",582,887,125,112,78,1,3,32.6%,49.6%,7.0%,6.3%,4.4%,0.1%,0.2%,"$213,146",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994,6,75,,6075060703,607.03,Census Tract 607.03,G5020,S,346694,0,37.7749279,-122.3957079,3.54549338226207e-05,0.0307532764714659
42,2,614.02,3661,187926,6075061402,"$3,661","$187,926",694,"1,196","1,196",445,218,123,215,136,6,53,37.2%,18.2%,10.3%,18.0%,11.4%,0.5%,4.4%,"$187,926",1.0,3.0,2.0,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,995,6,75,,6075061402,614.02,Census Tract 614.02,G5020,S,393751,0,37.7565832,-122.3947008,4.02575556108786e-05,0.026377667736503
43,2,615.01,2657,243345,6075061501,"$2,657","$243,345",389,518,518,279,165,45,7,18,3,1,53.9%,31.9%,8.7%,1.4%,3.5%,0.6%,0.2%,"$243,345",0.0,1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,787,6,75,,6075061501,615.01,Census Tract 615.01,G5020,S,416352,0,37.7878384,-122.4001079,4.25860380346421e-05,0.0299364059570182
44,2,615.02,683,35512,6075061502,$683,"$35,512",685,"1,002","1,002",443,253,129,90,66,20,1,44.2%,25.2%,12.9%,9.0%,6.6%,2.0%,0.1%,"$35,512",3.0,2.0,3.0,3.0,,,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,996,6,75,,6075061502,615.02,Census Tract 615.02,G5020,S,215314,0,37.7817147,-122.3929796,2.20211950363591e-05,0.0233497021386343
45,2,615.03,3405,203492,6075061503,"$3,405","$203,492",596,974,974,407,334,85,92,47,6,3,41.8%,34.3%,8.7%,9.4%,4.8%,0.6%,0.3%,"$203,492",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,993,6,75,,6075061503,615.03,Census Tract 615.03,G5020,S,234864,0,37.7857922,-122.3965353,2.40221093008586e-05,0.0214894887020771
46,2,615.04,4674,241992,6075061504,"$4,674","$241,992",688,952,952,427,424,71,14,15,0,1,44.9%,44.5%,7.5%,1.5%,1.6%,0.0%,0.1%,"$241,992",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,776,6,75,,6075061504,615.04,Census Tract 615.04,G5020,S,95344,0,37.7852562,-122.3924125,9.75167813521693e-06,0.0141154554413989
47,2,615.06,4870,213137,6075061506,"$4,870","$213,137",814,"1,172","1,172",522,476,98,51,20,5,0,44.5%,40.6%,8.4%,4.4%,1.7%,0.4%,0.0%,"$213,137",1.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,791,6,75,,6075061506,615.06,Census Tract 615.06,G5020,S,112895,0,37.7876594,-122.3910165,1.15471630124375e-05,0.018634113490298
48,2,615.07,2697,149483,6075061507,$0,$0,0,0,0,0,0,0,0,0,0,0,-%,-%,-%,-%,-%,-%,-%,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,777,6,75,,6075061507,615.07,Census Tract 615.07,G5020,S,336738,299021,37.7907573,-122.3891845,6.50307688374596e-05,0.0421598914067809
49,2,615.08,2489,102485,6075061508,"$2,489","$102,485",865,"1,396","1,396",548,677,95,23,49,3,1,39.3%,48.5%,6.8%,1.6%,3.5%,0.2%,0.1%,"$102,485",2.0,6.0,4.0,0.0,,,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,820,6,75,,6075061508,615.08,Census Tract 615.08,G5020,S,227943,152297,37.785752,-122.3863814,3.88904404644563e-05,0.0310405472462526
50,3,124.05,1380,98892,6075012405,"$1,380","$98,892",497,744,744,339,193,101,45,46,14,6,45.6%,25.9%,13.6%,6.0%,6.2%,1.9%,0.8%,"$98,892",2.0,1.0,2.0,2.0,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,698,6,75,,6075012405,124.05,Census Tract 124.05,G5020,S,295197,0,37.7795195,-122.417462,3.01904674415709e-05,0.0241952179896579
51,3,176.02,2697,149483,6075017602,$0,$0,502,800,800,268,227,83,147,50,23,2,33.5%,28.4%,10.4%,18.4%,6.3%,2.9%,0.3%,,2.0,1.0,2.0,1.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,992,6,75,,6075017602,176.02,Census Tract 176.02,G5020,S,273225,0,37.7821241,-122.4070181,2.79441724160279e-05,0.0251623780602959
52,3,176.03,247,11657,6075017603,$247,"$11,657",756,"1,801","1,801",642,581,190,146,216,16,10,35.6%,32.3%,10.5%,8.1%,12.0%,0.9%,0.6%,"$11,657",6.0,6.0,6.0,4.0,,,0.0,3.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,2.0,700,6,75,,6075017603,176.03,Census Tract 176.03,G5020,S,248651,0,37.7763092,-122.4143407,2.54290212069463e-05,0.0238204898388352
53,3,176.04,1048,46907,6075017604,"$1,048","$46,907",796,"1,591","1,591",582,285,136,347,193,34,14,36.6%,17.9%,8.5%,21.8%,12.1%,2.1%,0.9%,"$46,907",7.0,4.0,6.0,6.0,,,0.0,4.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,796,6,75,,6075017604,176.04,Census Tract 176.04,G5020,S,111719,0,37.7798582,-122.4117434,1.14257600216661e-05,0.0154683166241112
54,3,178.01,2697,149483,6075017801,$0,$0,904,"1,217","1,217",380,719,67,33,15,3,0,31.2%,59.1%,5.5%,2.7%,1.2%,0.2%,0.0%,,1.0,1.0,1.0,1.0,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1718,6,75,,6075017801,178.01,Census Tract 178.01,G5020,S,214051,0,37.7820284,-122.4011589,2.18923933061888e-05,0.0192805695312699
55,3,178.04,1281,163000,6075017804,"$1,281","$163,000",280,687,687,254,218,83,63,59,6,4,37.0%,31.7%,12.1%,9.2%,8.6%,0.9%,0.6%,"$163,000",4.0,6.0,5.0,1.0,,,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,703,6,75,,6075017804,178.04,Census Tract 178.04,G5020,S,320289,0,37.7776291,-122.4067243,3.27558259414218e-05,0.0249179424841877
56,3,180.0,2542,158558,6075018000,"$2,542","$158,558",571,"1,088","1,088",425,465,92,76,16,2,12,39.1%,42.7%,8.5%,7.0%,1.5%,0.2%,1.1%,"$158,558",0.0,3.0,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,121,6,75,,6075018000,180.0,Census Tract 180,G5020,S,933506,0,37.7753353,-122.4022844,9.54664556047646e-05,0.0534065049868825
57,3,227.04,3439,214167,6075022704,"$3,439","$214,167",572,"1,093","1,093",723,191,139,13,22,3,2,66.1%,17.5%,12.7%,1.2%,2.0%,0.3%,0.2%,"$214,167",0.0,2.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1719,6,75,,6075022704,227.04,Census Tract 227.04,G5020,S,544609,0,37.7609519,-122.4019893,5.5684558901703e-05,0.0289232661228601
58,3,607.01,2697,149483,6075060701,$0,$0,802,"1,517","1,517",595,702,166,19,26,7,2,39.2%,46.3%,10.9%,1.3%,1.7%,0.5%,0.1%,,2.0,3.0,3.0,0.0,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,770,6,75,,6075060701,607.01,Census Tract 607.01,G5020,S,1292507,742331,37.7743713,-122.3835948,0.0002080902750094,0.0673846737012472
59,3,607.03,7071,211307,6075060703,"$7,071","$211,307","1,192","2,088","2,088",675,"1,065",195,70,71,8,4,32.3%,51.0%,9.3%,3.4%,3.4%,0.4%,0.2%,"$211,307",3.0,7.0,5.0,2.0,,,1.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,994,6,75,,6075060703,607.03,Census Tract 607.03,G5020,S,346694,0,37.7749279,-122.3957079,3.54549338226207e-05,0.0307532764714659
60,3,615.01,2697,149483,6075061501,$0,$0,567,779,779,387,235,87,27,41,1,1,49.7%,30.2%,11.2%,3.5%,5.3%,0.1%,0.1%,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787,6,75,,6075061501,615.01,Census Tract 615.01,G5020,S,416352,0,37.7878384,-122.4001079,4.25860380346421e-05,0.0299364059570182
61,3,615.03,3012,175911,6075061503,"$3,012","$175,911",610,"1,055","1,055",396,519,89,14,30,7,0,37.5%,49.2%,8.4%,1.3%,2.8%,0.7%,0.0%,"$175,911",2.0,1.0,2.0,0.0,,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,993,6,75,,6075061503,615.03,Census Tract 615.03,G5020,S,234864,0,37.7857922,-122.3965353,2.40221093008586e-05,0.0214894887020771
62,3,615.06,2697,149483,6075061506,$0,$0,830,"1,297","1,297",474,650,91,36,44,2,0,36.5%,50.1%,7.0%,2.8%,3.4%,0.2%,0.0%,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791,6,75,,6075061506,615.06,Census Tract 615.06,G5020,S,112895,0,37.7876594,-122.3910165,1.15471630124375e-05,0.018634113490298
63,3,615.08,2697,149483,6075061508,$0,$0,346,590,590,277,209,74,12,18,0,0,46.9%,35.4%,12.5%,2.0%,3.1%,0.0%,0.0%,,1.0,2.0,2.0,0.0,,,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,820,6,75,,6075061508,615.08,Census Tract 615.08,G5020,S,227943,152297,37.785752,-122.3863814,3.88904404644563e-05,0.0310405472462526
64,4,176.03,3125,117685,6075017603,"$3,125","$117,685",946,"1,435","1,435",543,653,122,58,55,2,2,37.8%,45.5%,8.5%,4.0%,3.8%,0.1%,0.1%,"$117,685",5.0,1.0,3.0,1.0,,,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,700,6,75,,6075017603,176.03,Census Tract 176.03,G5020,S,248651,0,37.7763092,-122.4143407,2.54290212069463e-05,0.0238204898388352
65,4,178.04,2697,149483,6075017804,$0,$0,474,680,680,289,234,67,35,41,11,3,42.5%,34.4%,9.9%,5.1%,6.0%,1.6%,0.4%,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703,6,75,,6075017804,178.04,Census Tract 178.04,G5020,S,320289,0,37.7776291,-122.4067243,3.27558259414218e-05,0.0249179424841877
66,4,180.0,2697,149483,6075018000,$0,$0,376,"1,727","1,727",518,250,322,473,117,29,18,30.0%,14.5%,18.6%,27.4%,6.8%,1.7%,1.0%,,4.0,5.0,5.0,1.0,,,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,121,6,75,,6075018000,180.0,Census Tract 180,G5020,S,933506,0,37.7753353,-122.4022844,9.54664556047646e-05,0.0534065049868825
