,,,,,,,
2,SB,SB: Spanish Biliteracy,Cleveland ES,0.0,1,34,33
2,CN,CN: Cantonese Immersion (Cantonese Speakers),Yu (Alice Fong) K-8,0.2,12,66,66
2,GE,GE: General Education,Sloat (Commodore) ES,0.3,17,66,66
2,CB,CB: Cantonese Biliteracy,Lau (Gordon J) ES,0.0,2,66,66
2,GE,GE: General Education,Lau (Gordon J) ES,0.1,3,42,42
2,GE,GE: General Education,SF Community K-8,0.2,5,29,33
2,GE,GE: General Education,Webster (Daniel) ES,0.3,6,22,22
2,SN,SN: Spanish Immersion (Spanish Speakers),Webster (Daniel) ES,0.1,3,44,44
2,GE,GE: General Education,Milk (Harvey) Civil Right ES,0.5,10,22,22
2,GE,GE: General Education,Drew (Dr Charles) College Preparatory Academy ES,0.1,4,44,44
2,CN,CN: Cantonese Immersion (Cantonese Speakers),Chinese Immersion School at DeAvila ES,0.1,4,67,66
2,AF,AF: SDC - Mild/Mod Autism Focus,Taylor (Edward R) ES,0.0,0,6,6
2,CB,CB: Cantonese Biliteracy,Taylor (Edward R) ES,0.0,0,33,33
2,GE,GE: General Education,Taylor (Edward R) ES,0.0,1,42,42
2,SB,SB: Spanish Biliteracy,Taylor (Edward R) ES,0.0,0,21,22
2,AF,AF: SDC - Mild/Mod Autism Focus,El Dorado ES,0.0,0,4,4
2,GE,GE: General Education,El Dorado ES,0.0,0,8,7
2,GE,GE: General Education,Cobb (Dr William L) ES,0.1,3,22,22
2,MS,MS: SDC - Extensive Services,Huerta (Dolores) ES,0.0,0,1,1
2,SN,SN: Spanish Immersion (Spanish Speakers),Huerta (Dolores) ES,0.1,9,66,66
2,GE,GE: General Education,Feinstein (Dianne) ES,0.2,13,64,66
2,SA,SA: SDC - Extensive Services Autism Focus,Feinstein (Dianne) ES,0.0,0,0,4
2,GE,GE: General Education,Key (Francis Scott) ES,0.2,13,86,84
2,MS,MS: SDC - Extensive Services,Key (Francis Scott) ES,0.0,0,2,4
2,GE,GE: General Education,McCoppin (Frank) ES,0.2,8,44,44
2,AF,AF: SDC - Mild/Mod Autism Focus,Garfield ES,0.0,0,3,3
2,CN,CN: Cantonese Immersion (Cantonese Speakers),Garfield ES,0.1,3,19,22
2,GE,GE: General Education,Garfield ES,0.1,2,19,21
2,GE,GE: General Education,Peabody (George) ES,0.5,22,42,42
2,MM,MM: SDC - Mild to Moderate,Peabody (George) ES,0.0,0,2,2
2,GE,GE: General Education,Glen Park ES,0.2,10,42,42
2,SA,SA: SDC - Extensive Services Autism Focus,Glen Park ES,0.0,0,5,5
2,SB,SB: Spanish Biliteracy,Glen Park ES,0.0,1,15,22
2,GE,GE: General Education,Grattan ES,0.3,22,63,63
2,SA,SA: SDC - Extensive Services Autism Focus,Grattan ES,0.0,0,3,4
2,GE,GE: General Education,Guadalupe ES,0.0,1,16,22
2,SB,SB: Spanish Biliteracy,Guadalupe ES,0.0,0,23,22
2,GE,GE: General Education,Chavez (Cesar) ES,0.0,0,20,21
2,SB,SB: Spanish Biliteracy,Chavez (Cesar) ES,0.2,7,44,44
2,TC,TC: SDC - Total Communication,Chavez (Cesar) ES,0.0,0,0,2
2,GE,GE: General Education,Hillcrest ES,0.1,3,27,33
2,MM,MM: SDC - Mild to Moderate,Hillcrest ES,0.0,0,2,2
2,SB,SB: Spanish Biliteracy,Hillcrest ES,0.0,0,22,22
2,MM,MM: SDC - Mild to Moderate,Buena Vista Horace Mann K-8,0.0,0,2,2
2,SN,SN: Spanish Immersion (Spanish Speakers),Buena Vista Horace Mann K-8,0.1,7,66,66
2,GE,GE: General Education,Carver (Dr George W) ES,0.1,2,16,22
2,CB,CB: Cantonese Biliteracy,Parker (Jean) ES,0.0,0,10,10
2,GE,GE: General Education,Parker (Jean) ES,0.0,0,12,12
2,AF,AF: SDC - Mild/Mod Autism Focus,Jefferson ES,0.2,1,5,5
2,GE,GE: General Education,Jefferson ES,0.2,19,84,84
2,GE,GE: General Education,Muir (John) ES,0.0,0,21,22
2,SB,SB: Spanish Biliteracy,Muir (John) ES,0.0,1,23,22
2,GE,GE: General Education,Serra (Junipero) ES,0.3,6,22,22
2,SB,SB: Spanish Biliteracy,Serra (Junipero) ES,0.1,3,22,22
2,AO,AO: SDC - Auditory/Oral,Lafayette ES,0.0,0,2,3
2,GE,GE: General Education,Lafayette ES,0.2,13,86,84
2,AF,AF: SDC - Mild/Mod Autism Focus,Lakeshore ES,0.3,1,3,3
2,GE,GE: General Education,Lakeshore ES,0.2,10,57,63
2,GE,GE: General Education,Lawton K-8,0.7,43,65,63
2,MS,MS: SDC - Extensive Services,Lawton K-8,0.0,0,2,2
2,GE,GE: General Education,Flynn (Leonard R) ES,0.1,3,22,22
2,SN,SN: Spanish Immersion (Spanish Speakers),Flynn (Leonard R) ES,0.0,1,43,44
2,FB,FB: Filipino FLES,Longfellow ES,0.0,1,21,22
2,GE,GE: General Education,Longfellow ES,0.1,3,22,21
2,MM,MM: SDC - Mild to Moderate,Longfellow ES,0.0,0,2,2
2,SB,SB: Spanish Biliteracy,Longfellow ES,0.0,1,21,22
2,SN,SN: Spanish Immersion (Spanish Speakers),Marshall ES,0.1,3,44,44
2,AF,AF: SDC - Mild/Mod Autism Focus,McKinley ES,0.0,0,5,5
2,GE,GE: General Education,McKinley ES,0.4,16,41,41
2,AF,AF: SDC - Mild/Mod Autism Focus,Miraloma ES,0.0,0,4,4
2,GE,GE: General Education,Miraloma ES,0.3,16,63,63
2,CB,CB: Cantonese Biliteracy,Moscone (George R) ES,0.0,0,12,22
2,GE,GE: General Education,Moscone (George R) ES,0.1,2,22,22
2,SB,SB: Spanish Biliteracy,Moscone (George R) ES,0.0,0,22,22
2,NS,NS: Spanish Newcomer,Mission Education Center ES,0.0,0,5,11
2,CB,CB: Cantonese Biliteracy,Monroe ES,0.1,2,23,22
2,GE,GE: General Education,Monroe ES,0.3,7,22,22
2,SN,SN: Spanish Immersion (Spanish Speakers),Monroe ES,0.0,2,44,44
2,GE,GE: General Education,New Traditions ES,0.3,15,44,44
2,GE,GE: General Education,Ortega (Jose) ES,0.2,7,44,44
2,MN,MN: Mandarin Immersion (Mandarin Speakers),Ortega (Jose) ES,0.2,4,23,22
2,GE,GE: General Education,Sunset ES,0.6,37,64,63
2,SA,SA: SDC - Extensive Services Autism Focus,Sunset ES,0.0,0,7,7
2,GE,GE: General Education,Revere (Paul) K-8,0.1,2,18,21
2,MM,MM: SDC - Mild to Moderate,Revere (Paul) K-8,0.0,0,2,2
2,SN,SN: Spanish Immersion (Spanish Speakers),Revere (Paul) K-8,0.1,3,32,32
2,GE,GE: General Education,Stevenson (Robert Louis) ES,0.4,25,64,64
2,MM,MM: SDC - Mild to Moderate,Stevenson (Robert Louis) ES,0.0,0,5,4
2,AF,AF: SDC - Mild/Mod Autism Focus,Parks (Rosa) ES,0.0,0,5,6
2,GE,GE: General Education,Parks (Rosa) ES,0.0,0,19,21
2,JB,JB: Japanese Bilingual Bicultural Prgram,Parks (Rosa) ES,0.0,1,33,44
2,GE,GE: General Education,Redding ES,0.0,2,42,44
2,GE,GE: General Education,Rooftop K-8,0.6,38,66,66
2,GE,GE: General Education,Wo (Yick) ES,0.1,3,27,27
2,SA,SA: SDC - Extensive Services Autism Focus,Wo (Yick) ES,0.0,0,2,2
2,GE,GE: General Education,SF Public Montessori ES,0.3,6,22,22
2,GE,GE: General Education,Sanchez ES,0.0,1,21,21
2,MM,MM: SDC - Mild to Moderate,Sanchez ES,0.0,0,4,5
2,SB,SB: Spanish Biliteracy,Sanchez ES,0.1,3,22,22
2,GE,GE: General Education,Sheridan ES,0.0,0,31,33
2,AF,AF: SDC - Mild/Mod Autism Focus,Sherman ES,0.0,0,4,4
2,GE,GE: General Education,Sherman ES,0.1,4,52,52
2,GE,GE: General Education,Malcolm X Academy ES,0.0,0,16,22
2,CB,CB: Cantonese Biliteracy,Spring Valley Science ES,0.0,0,6,8
2,GE,GE: General Education,Spring Valley Science ES,0.0,0,14,21
2,MM,MM: SDC - Mild to Moderate,Spring Valley Science ES,0.0,0,2,3
2,SB,SB: Spanish Biliteracy,Spring Valley Science ES,0.0,0,22,22
2,GE,GE: General Education,King (Thomas Starr) ES,0.2,2,10,10
2,MN,MN: Mandarin Immersion (Mandarin Speakers),King (Thomas Starr) ES,0.0,0,44,44
2,SA,SA: SDC - Extensive Services Autism Focus,King (Thomas Starr) ES,0.0,0,5,4
2,GE,GE: General Education,Sunnyside ES,0.2,10,63,63
2,MS,MS: SDC - Extensive Services,Sunnyside ES,0.0,0,3,3
2,CB,CB: Cantonese Biliteracy,Sutro ES,0.0,0,20,22
2,GE,GE: General Education,Sutro ES,0.3,7,16,22
2,AF,AF: SDC - Mild/Mod Autism Focus,Tenderloin Community ES,0.0,0,2,2
2,GE,GE: General Education,Tenderloin Community ES,0.0,0,42,42
2,CB,CB: Cantonese Biliteracy,Ulloa ES,0.2,5,22,22
2,GE,GE: General Education,Ulloa ES,0.4,29,66,66
2,CB,CB: Cantonese Biliteracy,Visitacion Valley ES,0.0,0,8,11
2,GE,GE: General Education,Visitacion Valley ES,0.1,3,30,44
2,CB,CB: Cantonese Biliteracy,Chin (John Yehall) ES,0.0,0,20,22
2,GE,GE: General Education,Chin (John Yehall) ES,0.0,1,20,22
2,CN,CN: Cantonese Immersion (Cantonese Speakers),West Portal ES,0.2,5,33,33
2,GE,GE: General Education,West Portal ES,0.5,31,66,66
3,GE,GE: General Education,Alamo ES,0.3,16,66,63
3,SA,SA: SDC - Extensive Services Autism Focus,Alamo ES,0.0,0,3,4
3,GE,GE: General Education,Alvarado ES,0.5,20,42,42
3,MS,MS: SDC - Extensive Services,Alvarado ES,0.0,0,2,3
3,SN,SN: Spanish Immersion (Spanish Speakers),Alvarado ES,0.2,10,44,44
3,AF,AF: SDC - Mild/Mod Autism Focus,Argonne ES,0.0,0,4,3
3,GE,GE: General Education,Argonne ES,0.2,15,64,64
3,FB,FB: Filipino FLES,Carmichael (Bessie) K-8,0.0,0,21,22
3,GE,GE: General Education,Carmichael (Bessie) K-8,0.1,3,44,44
3,GE,GE: General Education,Harte (Bret) ES,0.0,1,24,22
3,SN,SN: Spanish Immersion (Spanish Speakers),Harte (Bret) ES,0.0,1,21,22
3,GE,GE: General Education,Bryant ES,0.2,5,16,22
3,SB,SB: Spanish Biliteracy,Bryant ES,0.1,2,21,22
3,NC,NC: Chinese Newcomer,Lee (Edwin and Anita) Newcomer ES,0.0,0,1,5
3,GE,GE: General Education,Clarendon ES,0.7,28,42,42
3,JB,JB: Japanese Bilingual Bicultural Prgram,Clarendon ES,0.2,9,44,44
3,MM,MM: SDC - Mild to Moderate,Clarendon ES,0.0,0,2,4
3,GE,GE: General Education,Lilienthal (Claire) K-8,0.5,30,60,58
3,KN,KN: Korean Immersion (Korean Speakers),Lilienthal (Claire) K-8,0.0,0,19,22
3,GE,GE: General Education,Cleveland ES,0.0,0,20,22
3,SB,SB: Spanish Biliteracy,Cleveland ES,0.0,1,35,33
3,CN,CN: Cantonese Immersion (Cantonese Speakers),Yu (Alice Fong) K-8,0.1,8,66,66
3,GE,GE: General Education,Sloat (Commodore) ES,0.2,12,67,66
3,CB,CB: Cantonese Biliteracy,Lau (Gordon J) ES,0.0,1,55,60
3,GE,GE: General Education,Lau (Gordon J) ES,0.1,3,36,40
3,GE,GE: General Education,SF Community K-8,0.2,7,33,33
3,GE,GE: General Education,Webster (Daniel) ES,0.2,4,20,22
3,SN,SN: Spanish Immersion (Spanish Speakers),Webster (Daniel) ES,0.0,2,43,44
3,GE,GE: General Education,Milk (Harvey) Civil Right ES,0.1,3,19,22
3,GE,GE: General Education,Drew (Dr Charles) College Preparatory Academy ES,0.1,2,22,22
3,CN,CN: Cantonese Immersion (Cantonese Speakers),Chinese Immersion School at DeAvila ES,0.0,1,65,66
3,AF,AF: SDC - Mild/Mod Autism Focus,Taylor (Edward R) ES,0.0,0,3,4
3,CB,CB: Cantonese Biliteracy,Taylor (Edward R) ES,0.0,1,29,33
3,GE,GE: General Education,Taylor (Edward R) ES,0.1,3,44,42
3,SB,SB: Spanish Biliteracy,Taylor (Edward R) ES,0.0,0,22,22
3,AF,AF: SDC - Mild/Mod Autism Focus,El Dorado ES,0.0,0,3,3
3,GE,GE: General Education,El Dorado ES,0.1,1,16,15
3,GE,GE: General Education,Cobb (Dr William L) ES,0.1,3,22,22
3,MS,MS: SDC - Extensive Services,Huerta (Dolores) ES,0.0,0,0,4
3,SN,SN: Spanish Immersion (Spanish Speakers),Huerta (Dolores) ES,0.1,5,65,66
3,ED,ED: SDC - SOAR,Feinstein (Dianne) ES,0.0,0,1,3
3,GE,GE: General Education,Feinstein (Dianne) ES,0.1,8,66,66
3,GE,GE: General Education,Key (Francis Scott) ES,0.1,11,86,84
3,MS,MS: SDC - Extensive Services,Key (Francis Scott) ES,0.0,0,2,4
3,GE,GE: General Education,McCoppin (Frank) ES,0.3,12,40,44
3,AF,AF: SDC - Mild/Mod Autism Focus,Garfield ES,0.0,0,4,5
3,CN,CN: Cantonese Immersion (Cantonese Speakers),Garfield ES,0.0,0,11,22
3,GE,GE: General Education,Garfield ES,0.1,3,19,21
3,GE,GE: General Education,Peabody (George) ES,0.5,21,42,42
3,MM,MM: SDC - Mild to Moderate,Peabody (George) ES,0.0,0,4,4
3,GE,GE: General Education,Glen Park ES,0.3,9,33,33
3,SA,SA: SDC - Extensive Services Autism Focus,Glen Park ES,0.0,0,3,4
3,SB,SB: Spanish Biliteracy,Glen Park ES,0.2,4,17,22
3,GE,GE: General Education,Grattan ES,0.4,24,64,63
3,SA,SA: SDC - Extensive Services Autism Focus,Grattan ES,0.0,0,4,4
3,GE,GE: General Education,Guadalupe ES,0.0,1,38,44
3,SB,SB: Spanish Biliteracy,Guadalupe ES,-,1,0,0
3,GE,GE: General Education,Chavez (Cesar) ES,0.1,2,24,21
3,SB,SB: Spanish Biliteracy,Chavez (Cesar) ES,0.1,3,43,44
3,TC,TC: SDC - Total Communication,Chavez (Cesar) ES,0.0,0,3,4
3,GE,GE: General Education,Hillcrest ES,0.0,1,24,33
3,MM,MM: SDC - Mild to Moderate,Hillcrest ES,0.0,0,7,7
3,SB,SB: Spanish Biliteracy,Hillcrest ES,0.0,0,22,22
3,MM,MM: SDC - Mild to Moderate,Buena Vista Horace Mann K-8,0.0,0,4,4
3,SN,SN: Spanish Immersion (Spanish Speakers),Buena Vista Horace Mann K-8,0.1,7,66,66
3,GE,GE: General Education,Carver (Dr George W) ES,0.0,0,17,22
3,CB,CB: Cantonese Biliteracy,Parker (Jean) ES,0.0,0,6,6
3,GE,GE: General Education,Parker (Jean) ES,0.2,3,6,16
3,AF,AF: SDC - Mild/Mod Autism Focus,Jefferson ES,0.0,0,2,2
3,GE,GE: General Education,Jefferson ES,0.2,20,84,84
3,GE,GE: General Education,Muir (John) ES,0.2,4,22,22
3,SB,SB: Spanish Biliteracy,Muir (John) ES,0.0,1,22,22
3,GE,GE: General Education,Serra (Junipero) ES,0.1,3,22,22
3,SB,SB: Spanish Biliteracy,Serra (Junipero) ES,0.1,3,22,22
3,AO,AO: SDC - Auditory/Oral,Lafayette ES,0.0,0,1,4
3,GE,GE: General Education,Lafayette ES,0.2,17,84,84
3,AF,AF: SDC - Mild/Mod Autism Focus,Lakeshore ES,0.0,0,6,5
3,GE,GE: General Education,Lakeshore ES,0.1,5,84,84
3,GE,GE: General Education,Lawton K-8,0.6,37,64,63
3,MS,MS: SDC - Extensive Services,Lawton K-8,0.0,0,2,3
3,ED,ED: SDC - SOAR,Flynn (Leonard R) ES,0.0,0,0,3
3,GE,GE: General Education,Flynn (Leonard R) ES,0.1,2,18,22
3,SN,SN: Spanish Immersion (Spanish Speakers),Flynn (Leonard R) ES,0.0,1,42,44
3,FB,FB: Filipino FLES,Longfellow ES,0.0,0,21,22
3,GE,GE: General Education,Longfellow ES,0.0,0,25,30
3,MM,MM: SDC - Mild to Moderate,Longfellow ES,0.3,1,4,4
3,SB,SB: Spanish Biliteracy,Longfellow ES,0.1,2,22,22
3,SN,SN: Spanish Immersion (Spanish Speakers),Marshall ES,0.1,5,42,44
3,AF,AF: SDC - Mild/Mod Autism Focus,McKinley ES,0.3,1,4,4
3,GE,GE: General Education,McKinley ES,0.2,10,43,42
3,AF,AF: SDC - Mild/Mod Autism Focus,Miraloma ES,0.0,0,4,4
3,GE,GE: General Education,Miraloma ES,0.2,10,63,63
3,CB,CB: Cantonese Biliteracy,Moscone (George R) ES,0.0,0,18,22
3,GE,GE: General Education,Moscone (George R) ES,0.1,3,21,22
3,SB,SB: Spanish Biliteracy,Moscone (George R) ES,0.0,1,22,22
3,NS,NS: Spanish Newcomer,Mission Education Center ES,0.0,0,6,11
3,CB,CB: Cantonese Biliteracy,Monroe ES,0.0,1,22,22
3,GE,GE: General Education,Monroe ES,0.6,13,22,22
3,SN,SN: Spanish Immersion (Spanish Speakers),Monroe ES,0.1,3,44,44
3,GE,GE: General Education,New Traditions ES,0.3,15,44,44
3,GE,GE: General Education,Ortega (Jose) ES,0.2,8,44,44
3,MN,MN: Mandarin Immersion (Mandarin Speakers),Ortega (Jose) ES,0.1,3,22,22
3,GE,GE: General Education,Sunset ES,0.5,34,66,63
3,SA,SA: SDC - Extensive Services Autism Focus,Sunset ES,0.3,1,1,3
3,GE,GE: General Education,Revere (Paul) K-8,0.1,3,21,21
3,MM,MM: SDC - Mild to Moderate,Revere (Paul) K-8,0.0,0,5,5
3,SN,SN: Spanish Immersion (Spanish Speakers),Revere (Paul) K-8,0.1,2,33,33
3,GE,GE: General Education,Stevenson (Robert Louis) ES,0.3,19,64,64
3,MM,MM: SDC - Mild to Moderate,Stevenson (Robert Louis) ES,0.3,1,4,4
3,AF,AF: SDC - Mild/Mod Autism Focus,Parks (Rosa) ES,0.0,0,3,6
3,GE,GE: General Education,Parks (Rosa) ES,0.1,2,21,21
3,JB,JB: Japanese Bilingual Bicultural Prgram,Parks (Rosa) ES,0.0,1,24,22
3,GE,GE: General Education,Redding ES,0.1,4,43,44
3,GE,GE: General Education,Rooftop K-8,0.3,17,66,66
3,GE,GE: General Education,Wo (Yick) ES,0.1,5,38,38
3,SA,SA: SDC - Extensive Services Autism Focus,Wo (Yick) ES,0.0,0,2,4
3,GE,GE: General Education,SF Public Montessori ES,0.4,9,22,22
3,GE,GE: General Education,Sanchez ES,0.0,1,21,21
3,MM,MM: SDC - Mild to Moderate,Sanchez ES,0.0,0,1,3
3,SB,SB: Spanish Biliteracy,Sanchez ES,0.2,4,22,22
3,GE,GE: General Education,Sheridan ES,0.0,0,31,33
3,AF,AF: SDC - Mild/Mod Autism Focus,Sherman ES,0.3,1,4,4
3,GE,GE: General Education,Sherman ES,0.2,9,52,52
3,GE,GE: General Education,Malcolm X Academy ES,0.0,0,14,22
3,CB,CB: Cantonese Biliteracy,Spring Valley Science ES,0.0,0,7,8
3,GE,GE: General Education,Spring Valley Science ES,0.1,2,11,21
3,MM,MM: SDC - Mild to Moderate,Spring Valley Science ES,0.0,0,5,6
3,SB,SB: Spanish Biliteracy,Spring Valley Science ES,0.0,0,16,15
3,GE,GE: General Education,King (Thomas Starr) ES,0.2,2,12,10
3,MN,MN: Mandarin Immersion (Mandarin Speakers),King (Thomas Starr) ES,0.0,1,38,44
3,SA,SA: SDC - Extensive Services Autism Focus,King (Thomas Starr) ES,0.0,0,1,3
3,GE,GE: General Education,Sunnyside ES,0.2,12,63,63
3,MS,MS: SDC - Extensive Services,Sunnyside ES,0.0,0,2,4
3,CB,CB: Cantonese Biliteracy,Sutro ES,0.0,0,19,22
3,GE,GE: General Education,Sutro ES,0.4,8,22,22
3,GE,GE: General Education,Tenderloin Community ES,0.0,2,44,44
3,CB,CB: Cantonese Biliteracy,Ulloa ES,0.1,2,22,22
3,GE,GE: General Education,Ulloa ES,0.3,17,67,66
3,CB,CB: Cantonese Biliteracy,Visitacion Valley ES,0.0,0,9,11
3,GE,GE: General Education,Visitacion Valley ES,0.1,3,40,44
3,GE,GE: General Education,Chin (John Yehall) ES,0.1,6,41,44
3,CN,CN: Cantonese Immersion (Cantonese Speakers),West Portal ES,0.0,1,34,33
3,GE,GE: General Education,West Portal ES,0.4,24,66,66
4,GE,GE: General Education,Alamo ES,0.2,10,64,64
4,SA,SA: SDC - Extensive Services Autism Focus,Alamo ES,0.0,0,2,3
4,GE,GE: General Education,Alvarado ES,0.2,10,42,41
4,MS,MS: SDC - Extensive Services,Alvarado ES,0.0,0,4,4
4,SN,SN: Spanish Immersion (Spanish Speakers),Alvarado ES,0.1,3,44,44
4,AF,AF: SDC - Mild/Mod Autism Focus,Argonne ES,0.0,0,5,5
4,GE,GE: General Education,Argonne ES,0.1,8,58,58
4,FB,FB: Filipino FLES,Carmichael (Bessie) K-8,0.0,0,17,17
4,GE,GE: General Education,Carmichael (Bessie) K-8,0.1,4,36,35
4,GE,GE: General Education,Harte (Bret) ES,0.1,3,21,30
4,SN,SN: Spanish Immersion (Spanish Speakers),Harte (Bret) ES,0.0,0,22,25
4,GE,GE: General Education,Bryant ES,0.1,1,19,19
4,SB,SB: Spanish Biliteracy,Bryant ES,0.0,1,22,22
4,NC,NC: Chinese Newcomer,Lee (Edwin and Anita) Newcomer ES,0.0,0,4,6
4,GE,GE: General Education,Clarendon ES,0.4,16,44,44
4,JB,JB: Japanese Bilingual Bicultural Prgram,Clarendon ES,0.0,1,43,43
4,MM,MM: SDC - Mild to Moderate,Clarendon ES,0.0,0,4,4
4,GE,GE: General Education,Lilienthal (Claire) K-8,0.5,26,57,54
4,KN,KN: Korean Immersion (Korean Speakers),Lilienthal (Claire) K-8,0.0,0,22,19
4,GE,GE: General Education,Cleveland ES,0.0,1,22,22
4,SB,SB: Spanish Biliteracy,Cleveland ES,0.0,0,33,36
4,CN,CN: Cantonese Immersion (Cantonese Speakers),Yu (Alice Fong) K-8,0.2,15,66,66
4,GE,GE: General Education,Sloat (Commodore) ES,0.3,17,66,66
4,CB,CB: Cantonese Biliteracy,Lau (Gordon J) ES,0.0,2,64,62
4,GE,GE: General Education,Lau (Gordon J) ES,0.1,6,44,44
4,GE,GE: General Education,SF Community K-8,0.2,5,33,33
4,GE,GE: General Education,Webster (Daniel) ES,0.1,3,27,30
4,SN,SN: Spanish Immersion (Spanish Speakers),Webster (Daniel) ES,0.0,1,42,40
4,GE,GE: General Education,Milk (Harvey) Civil Right ES,0.1,2,26,33
4,GE,GE: General Education,Drew (Dr Charles) College Preparatory Academy ES,0.2,6,27,30
4,CN,CN: Cantonese Immersion (Cantonese Speakers),Chinese Immersion School at DeAvila ES,0.0,1,65,66
4,AF,AF: SDC - Mild/Mod Autism Focus,Taylor (Edward R) ES,0.0,0,3,4
4,CB,CB: Cantonese Biliteracy,Taylor (Edward R) ES,0.0,1,37,38
4,GE,GE: General Education,Taylor (Edward R) ES,0.1,3,41,42
4,SB,SB: Spanish Biliteracy,Taylor (Edward R) ES,0.0,0,20,22
4,GE,GE: General Education,El Dorado ES,0.1,2,19,18
4,GE,GE: General Education,Cobb (Dr William L) ES,0.1,3,19,22
4,MS,MS: SDC - Extensive Services,Huerta (Dolores) ES,0.0,0,3,3
4,SN,SN: Spanish Immersion (Spanish Speakers),Huerta (Dolores) ES,0.1,7,65,64
4,ED,ED: SDC - SOAR,Feinstein (Dianne) ES,0.0,0,2,4
4,GE,GE: General Education,Feinstein (Dianne) ES,0.2,15,60,64
4,GE,GE: General Education,Key (Francis Scott) ES,0.2,19,90,90
4,MS,MS: SDC - Extensive Services,Key (Francis Scott) ES,0.0,0,2,3
4,GE,GE: General Education,McCoppin (Frank) ES,0.1,8,48,66
4,AF,AF: SDC - Mild/Mod Autism Focus,Garfield ES,0.0,0,3,3
4,CN,CN: Cantonese Immersion (Cantonese Speakers),Garfield ES,0.1,1,9,16
4,GE,GE: General Education,Garfield ES,0.1,1,9,13
4,GE,GE: General Education,Peabody (George) ES,0.3,14,42,42
4,MM,MM: SDC - Mild to Moderate,Peabody (George) ES,0.0,0,3,4
4,GE,GE: General Education,Glen Park ES,0.1,4,35,33
4,SA,SA: SDC - Extensive Services Autism Focus,Glen Park ES,0.0,0,4,3
4,SB,SB: Spanish Biliteracy,Glen Park ES,0.0,0,12,14
4,GE,GE: General Education,Grattan ES,0.2,12,64,64
4,SA,SA: SDC - Extensive Services Autism Focus,Grattan ES,0.0,0,1,2
4,GE,GE: General Education,Guadalupe ES,0.0,1,44,44
4,GE,GE: General Education,Chavez (Cesar) ES,0.2,4,24,24
4,SB,SB: Spanish Biliteracy,Chavez (Cesar) ES,0.1,5,44,44
4,TC,TC: SDC - Total Communication,Chavez (Cesar) ES,0.0,0,3,4
4,GE,GE: General Education,Hillcrest ES,0.0,1,23,23
4,MM,MM: SDC - Mild to Moderate,Hillcrest ES,0.0,0,6,6
4,SB,SB: Spanish Biliteracy,Hillcrest ES,0.0,0,21,22
4,MM,MM: SDC - Mild to Moderate,Buena Vista Horace Mann K-8,0.0,0,6,6
4,SN,SN: Spanish Immersion (Spanish Speakers),Buena Vista Horace Mann K-8,0.1,8,66,66
4,GE,GE: General Education,Carver (Dr George W) ES,0.0,1,18,22
4,CB,CB: Cantonese Biliteracy,Parker (Jean) ES,0.3,2,6,6
4,GE,GE: General Education,Parker (Jean) ES,0.1,2,8,27
4,AF,AF: SDC - Mild/Mod Autism Focus,Jefferson ES,0.0,0,6,6
4,GE,GE: General Education,Jefferson ES,0.3,21,84,84
4,GE,GE: General Education,Muir (John) ES,0.1,1,12,13
4,SB,SB: Spanish Biliteracy,Muir (John) ES,0.1,1,22,20
4,GE,GE: General Education,Serra (Junipero) ES,0.1,2,33,33
4,SB,SB: Spanish Biliteracy,Serra (Junipero) ES,0.0,1,22,22
4,AO,AO: SDC - Auditory/Oral,Lafayette ES,0.0,0,1,3
4,GE,GE: General Education,Lafayette ES,0.1,11,80,80
4,AF,AF: SDC - Mild/Mod Autism Focus,Lakeshore ES,0.0,0,6,7
4,GE,GE: General Education,Lakeshore ES,0.1,8,60,64
4,GE,GE: General Education,Lawton K-8,0.6,41,64,64
4,MS,MS: SDC - Extensive Services,Lawton K-8,0.0,0,3,3
4,ED,ED: SDC - SOAR,Flynn (Leonard R) ES,0.0,0,2,3
